runtime,imdb_rating,imdb_num_votes,critics_score,feature_film,drama,mpaa_rating_R,oscar_season,summer_season,audience_score
132.0,8.0,1147,95,0,0,0,0,0,90
95.0,7.2,35635,93,1,1,1,1,0,80
102.0,5.9,2569,40,1,1,1,0,0,34
101.0,5.9,13980,68,1,1,1,0,1,37
105.0,7.7,11477,86,0,1,1,0,0,86
84.0,4.1,9853,9,1,0,0,1,0,33
102.0,6.4,14970,39,1,1,1,0,0,45
90.0,7.3,9001,92,1,1,1,0,0,81
122.0,6.2,35868,22,1,1,1,1,0,48
107.0,5.4,41767,21,1,0,0,0,1,24
97.0,3.8,6954,17,1,0,0,0,0,35
165.0,8.5,893008,88,1,0,1,1,0,91
109.0,6.2,3467,50,1,1,0,0,0,69
126.0,7.0,117688,66,1,1,1,1,0,75
89.0,5.1,2817,17,1,0,0,0,1,43
102.0,5.8,32751,14,1,0,1,0,0,35
123.0,6.3,5704,19,1,1,0,1,0,78
96.0,7.6,318,97,0,0,0,0,0,78
127.0,6.6,123989,52,1,0,1,0,1,64
103.0,5.6,70209,38,1,0,0,1,0,40
111.0,7.8,541,86,0,0,0,1,0,88
120.0,6.1,132215,48,1,1,0,0,1,43
86.0,6.7,127458,67,1,1,1,0,0,65
99.0,3.5,27769,35,1,1,1,0,1,46
101.0,5.8,52635,14,1,0,0,0,1,55
121.0,7.1,12819,81,1,1,1,0,1,75
91.0,3.5,6054,4,1,0,1,0,0,67
92.0,6.2,9367,84,1,0,0,0,1,54
95.0,6.2,17798,32,1,0,1,0,0,41
93.0,6.7,26010,69,1,1,1,0,1,75
98.0,7.5,4515,79,1,1,1,1,0,76
39.0,7.3,535,100,0,0,0,0,0,74
107.0,7.4,71572,79,1,1,1,0,0,87
91.0,3.4,57933,3,1,0,0,1,0,37
157.0,7.5,1784,100,0,0,0,0,0,86
118.0,7.2,3883,70,1,1,1,0,0,79
126.0,6.7,2282,80,1,1,0,1,0,42
88.0,6.3,105745,36,1,0,0,1,0,63
94.0,5.3,104457,66,1,1,1,0,0,38
92.0,5.6,205065,37,1,0,0,0,1,51
100.0,7.8,562136,79,1,0,1,0,1,84
91.0,5.7,1778,50,1,0,0,1,0,44
92.0,5.6,7628,15,1,1,0,0,1,33
100.0,7.1,17934,60,1,1,1,0,0,74
96.0,7.3,2502,80,1,1,0,0,0,78
155.0,6.7,13092,67,1,1,0,0,1,59
90.0,6.6,1010,100,1,0,0,0,0,74
113.0,6.3,4687,63,1,0,0,0,0,55
138.0,6.6,48137,60,1,1,0,0,1,52
118.0,7.8,164112,89,1,1,0,1,0,89
115.0,7.5,30921,96,1,1,0,1,0,82
127.0,3.8,37640,4,1,0,0,1,0,22
117.0,6.8,95327,91,1,0,0,0,1,85
123.0,6.5,289825,74,1,0,0,0,1,66
102.0,6.5,15525,93,1,1,0,0,1,61
99.0,4.2,43268,3,1,0,0,0,0,33
100.0,6.3,3153,33,1,0,0,0,0,43
123.0,6.0,1887,55,1,1,1,0,0,50
86.0,4.5,3096,4,1,0,0,0,0,49
97.0,7.4,112216,63,1,1,1,0,1,84
131.0,6.4,154674,51,1,1,0,0,1,62
126.0,6.7,12535,79,1,1,1,0,1,63
97.0,7.4,3363,100,1,1,1,1,0,83
114.0,6.3,40659,53,1,0,0,0,1,65
120.0,7.4,82378,91,1,1,0,0,1,74
94.0,5.1,3135,41,1,1,0,0,1,61
90.0,7.3,1489,85,0,0,0,1,0,70
125.0,6.8,41385,59,1,1,1,1,0,62
128.0,6.7,88523,71,1,0,0,1,0,69
91.0,6.6,12221,75,1,1,1,0,0,63
97.0,5.9,6304,36,1,0,1,0,0,39
85.0,5.1,9565,19,1,0,1,0,0,32
129.0,7.2,15913,94,1,1,0,1,0,79
101.0,8.1,414687,96,1,0,0,0,0,87
107.0,7.2,33720,67,1,1,1,1,0,70
98.0,7.4,325,53,0,0,0,0,1,71
103.0,7.8,22245,72,1,0,1,0,0,86
106.0,5.7,17133,52,1,1,0,1,0,33
108.0,6.7,23821,79,1,1,1,0,1,70
123.0,7.7,13285,85,1,1,1,0,1,87
100.0,6.7,192052,33,1,0,1,0,0,68
110.0,6.9,211129,54,1,1,0,0,1,83
135.0,7.7,146518,78,1,1,1,0,0,85
100.0,5.4,2239,50,1,0,0,0,1,39
95.0,6.0,486,31,1,1,1,1,0,44
92.0,4.1,7658,4,1,1,1,0,0,17
107.0,6.1,1268,11,1,1,1,0,0,58
118.0,2.4,64119,3,1,0,0,0,1,11
95.0,6.2,24678,55,1,0,0,0,1,41
105.0,7.6,6114,100,1,1,0,0,0,85
93.0,6.5,9399,37,1,1,0,0,0,49
100.0,7.8,414650,92,1,1,1,0,0,79
104.0,6.5,15291,60,1,1,1,0,0,54
112.0,5.9,725,33,1,1,1,0,0,41
123.0,7.1,93331,40,1,1,0,1,0,77
154.0,7.4,9876,89,1,1,1,1,0,79
115.0,7.7,9525,84,1,1,1,1,0,85
90.0,7.2,44741,76,1,0,0,0,1,80
74.0,7.3,285,78,0,0,0,0,0,89
105.0,5.8,3673,67,1,1,1,1,0,31
95.0,6.1,79970,38,1,0,0,0,0,46
84.0,8.1,1058,79,0,0,0,1,0,92
91.0,6.9,60220,72,1,0,1,0,0,62
94.0,4.1,5591,21,1,0,0,0,0,36
82.0,7.3,340,100,0,0,0,0,0,80
98.0,6.3,50340,60,1,1,0,0,0,57
92.0,6.0,2934,61,1,1,1,0,0,55
91.0,5.7,5564,24,1,0,0,0,0,55
132.0,8.2,753592,73,1,1,1,0,0,90
98.0,6.4,1141,83,1,1,0,0,1,75
126.0,6.2,3967,67,1,1,1,1,0,40
110.0,7.1,287476,63,1,0,0,0,1,71
149.0,7.4,94983,67,1,0,1,0,1,86
119.0,7.0,56185,90,1,0,1,1,0,73
146.0,6.4,3138,82,1,1,1,0,0,61
125.0,6.4,25264,55,1,0,1,0,0,45
103.0,4.1,9424,29,1,1,0,0,0,70
114.0,6.2,16681,31,1,0,0,1,0,56
83.0,5.3,1308,10,1,1,0,1,0,56
85.0,7.9,87215,97,1,0,1,0,1,91
105.0,7.3,121245,83,1,0,1,1,0,81
110.0,6.4,71112,22,1,0,1,0,0,46
90.0,6.7,72295,74,1,0,0,1,0,65
90.0,3.8,2289,22,0,0,1,1,0,21
124.0,6.4,84191,59,1,1,0,0,1,49
112.0,6.6,235529,51,1,0,1,1,0,48
115.0,8.0,168032,98,1,1,1,0,0,90
104.0,5.4,56329,44,1,1,0,0,0,31
90.0,7.6,2849,100,0,0,0,0,0,84
120.0,6.8,26360,35,1,1,0,0,0,77
86.0,6.5,5762,64,1,0,1,0,0,48
94.0,5.9,8521,25,1,1,1,0,1,45
103.0,6.6,191935,30,1,0,1,0,1,58
267.0,7.8,872,100,0,0,0,1,0,73
95.0,5.1,8999,14,1,1,1,1,0,27
110.0,7.6,184656,84,1,1,1,0,0,85
89.0,7.2,2098,44,1,0,1,0,0,86
143.0,7.7,375820,90,1,1,0,1,0,83
92.0,4.8,19187,11,1,0,0,0,0,25
90.0,6.4,1406,60,1,1,1,0,0,61
103.0,7.0,16755,51,1,1,1,0,1,78
108.0,5.6,9003,64,1,1,0,0,0,40
110.0,6.3,5014,75,1,0,1,0,0,51
97.0,6.1,2818,56,1,0,1,0,1,40
94.0,7.9,38076,100,0,0,0,0,0,87
89.0,6.7,137405,64,1,0,0,1,0,66
97.0,5.6,56361,24,1,1,0,0,0,52
85.0,7.0,7244,67,1,0,1,0,0,75
110.0,5.7,2701,23,1,1,0,0,0,40
97.0,4.8,18712,7,1,0,1,1,0,38
106.0,6.3,25054,43,1,0,1,1,0,49
84.0,3.8,1510,10,1,0,1,0,1,63
118.0,7.4,8544,88,1,0,0,1,0,83
103.0,7.3,8561,56,1,1,1,1,0,81
88.0,6.7,151934,28,1,1,1,0,0,61
91.0,7.1,52449,85,1,1,1,0,0,80
128.0,5.9,11001,32,1,1,0,0,0,46
100.0,6.5,42613,63,1,1,1,0,1,64
88.0,4.1,3505,33,0,1,0,0,0,19
107.0,6.9,74294,53,1,0,1,0,1,78
86.0,7.5,1480,75,0,0,0,0,0,80
101.0,4.5,703,17,1,0,0,0,1,33
111.0,6.0,103789,51,1,0,0,1,0,51
106.0,7.5,42842,94,1,0,0,0,1,81
95.0,6.8,26731,58,1,0,1,1,0,65
85.0,7.8,26628,100,1,1,0,0,1,90
92.0,7.0,149437,60,1,0,0,0,0,85
101.0,6.7,9291,76,1,1,0,1,0,71
81.0,7.8,157701,93,1,1,1,0,1,90
101.0,6.1,14901,67,1,0,0,0,1,50
97.0,6.4,1361,86,1,0,1,0,0,51
99.0,7.8,47065,80,1,1,1,0,0,87
97.0,6.9,12606,85,1,0,0,0,1,69
112.0,7.8,246587,93,1,1,1,1,0,87
111.0,7.6,42208,59,1,1,0,0,0,84
108.0,7.6,9216,31,1,1,0,1,0,86
120.0,7.0,201787,85,1,0,0,0,1,71
113.0,7.1,19000,89,1,0,0,0,1,82
92.0,7.5,1799,61,0,0,1,0,0,72
101.0,5.9,12877,28,1,1,1,0,0,59
134.0,6.8,9025,60,1,1,1,1,0,76
77.0,5.7,5985,36,1,0,1,1,0,45
74.0,6.7,30886,43,1,0,0,1,0,63
106.0,5.6,4970,21,1,1,1,1,0,29
107.0,6.3,2732,33,1,0,1,0,1,72
87.0,5.1,3336,44,1,0,0,1,0,40
116.0,7.2,252661,93,1,0,1,0,1,76
91.0,7.4,30641,81,1,1,1,0,1,84
83.0,7.0,22601,86,1,1,0,0,0,71
106.0,6.1,7076,76,1,1,1,1,0,42
110.0,7.2,161601,78,1,0,0,0,1,88
113.0,7.6,285328,87,1,0,1,0,1,85
110.0,7.3,2598,100,0,1,0,0,0,75
100.0,7.2,108598,94,1,1,1,0,1,76
90.0,6.7,20655,83,1,1,1,0,1,66
89.0,5.3,12322,15,1,0,0,0,1,55
110.0,7.1,99192,51,1,1,1,0,0,76
93.0,5.6,44257,28,1,0,1,1,0,42
115.0,6.7,77762,22,1,1,0,1,0,74
161.0,7.4,368799,82,1,0,0,1,0,79
90.0,6.2,2830,25,1,1,0,0,1,64
104.0,6.0,2960,21,1,0,0,0,1,48
86.0,5.2,46233,24,1,0,0,0,0,23
111.0,6.5,9980,25,1,0,1,1,0,61
130.0,6.2,8016,45,1,1,1,0,1,66
88.0,5.6,37938,11,1,1,0,0,0,45
108.0,6.5,16480,52,1,0,1,0,1,54
94.0,6.3,63219,80,1,1,1,1,0,49
97.0,6.5,4251,71,1,1,1,1,0,59
90.0,6.4,23697,89,1,1,1,0,1,60
108.0,6.3,53675,34,1,0,1,1,0,48
87.0,6.5,9787,43,1,1,1,0,0,58
91.0,5.1,1978,36,1,0,1,0,1,28
93.0,5.3,9370,15,1,0,1,0,0,31
140.0,7.8,10380,91,1,1,1,0,0,87
105.0,6.9,73280,42,1,1,1,1,0,68
91.0,5.9,7656,67,1,0,1,0,0,47
124.0,6.2,11855,39,1,0,1,1,0,37
102.0,7.5,172765,88,1,1,1,0,1,83
91.0,6.9,23201,20,1,0,1,0,1,84
135.0,6.4,8604,48,1,1,1,1,0,74
100.0,7.0,14949,87,1,0,0,0,0,79
112.0,6.1,1995,73,1,1,1,0,0,44
119.0,6.9,15806,14,1,0,1,0,0,84
116.0,5.3,30694,30,1,0,0,0,1,27
107.0,6.5,56888,56,1,0,0,1,0,51
134.0,7.0,4821,78,1,1,0,0,0,64
81.0,5.8,3145,40,1,0,1,0,1,41
108.0,5.8,19115,74,1,1,1,0,0,35
102.0,7.2,70994,46,1,1,1,0,0,78
120.0,7.0,66233,92,1,1,1,0,0,72
113.0,5.8,2295,22,1,1,0,0,0,66
91.0,5.5,2698,13,1,1,1,0,0,37
96.0,7.4,34652,71,1,0,1,1,0,82
86.0,6.6,64489,59,1,0,0,0,1,63
122.0,7.8,49985,87,1,0,1,0,1,89
94.0,5.8,3649,87,1,0,0,0,1,56
88.0,6.3,3359,93,1,1,0,0,1,62
105.0,6.5,10020,31,1,0,0,0,0,46
129.0,6.5,78726,46,1,0,0,1,0,38
90.0,8.0,246907,94,1,0,0,1,0,92
109.0,7.8,49374,89,1,1,0,0,0,89
108.0,7.4,40001,92,1,0,1,1,0,82
89.0,5.8,18670,65,1,0,1,0,1,41
95.0,6.5,5149,47,1,1,0,0,1,72
108.0,7.1,35577,97,1,1,1,0,1,83
94.0,7.9,38076,100,0,0,0,0,0,87
86.0,2.3,87652,2,1,0,1,0,0,29
105.0,6.2,17329,63,1,0,1,1,0,45
112.0,5.9,16511,31,1,0,1,1,0,34
100.0,7.2,5002,78,1,1,1,0,0,79
202.0,9.0,749783,97,1,0,1,1,0,97
92.0,7.4,10599,95,1,0,0,1,0,84
91.0,6.4,3101,75,1,1,1,0,0,63
109.0,5.7,4180,18,1,0,0,0,1,44
116.0,7.7,9904,85,1,0,0,0,0,68
84.0,6.3,3428,67,1,0,0,0,0,61
180.0,8.2,2056,95,0,0,0,1,0,86
134.0,6.2,100447,51,1,0,1,1,0,50
108.0,6.8,37506,79,1,1,0,1,0,65
98.0,6.0,109633,60,1,0,0,0,1,49
118.0,7.3,21443,80,1,1,0,0,0,83
88.0,5.9,4031,17,1,1,1,0,0,57
110.0,5.5,47692,27,1,0,1,0,1,40
82.0,6.2,47343,11,1,0,0,1,0,69
104.0,5.2,24084,38,1,0,1,0,0,63
122.0,7.8,13215,96,1,0,0,0,0,85
122.0,7.2,105982,68,1,0,1,0,1,79
106.0,6.1,34461,46,1,1,0,1,0,57
86.0,5.1,15714,31,1,0,0,0,0,53
129.0,5.8,3358,23,1,1,0,0,1,65
172.0,7.5,275125,66,1,1,1,1,0,66
105.0,4.9,13280,11,1,0,1,0,0,35
121.0,7.5,2551,38,1,0,1,0,0,95
92.0,4.6,5863,27,1,0,1,0,0,33
87.0,1.9,73219,1,1,0,0,0,1,19
95.0,3.1,8319,7,1,0,0,1,0,17
116.0,7.9,265725,90,1,0,1,1,0,89
110.0,7.5,3859,72,1,1,0,0,0,86
134.0,5.9,53535,47,1,1,0,0,1,55
87.0,7.1,4907,91,0,0,1,0,1,72
131.0,7.6,318019,98,1,1,1,0,1,84
85.0,7.5,679,93,0,0,0,0,0,82
113.0,8.5,806911,92,1,0,1,0,0,94
107.0,6.4,3342,63,1,1,1,0,0,55
86.0,7.9,3649,94,0,0,0,1,0,88
93.0,6.4,27417,55,1,0,0,0,1,68
90.0,7.5,1815,71,0,0,0,1,0,89
84.0,7.1,9939,74,1,1,1,0,1,76
101.0,6.2,4857,17,1,1,1,0,0,43
111.0,6.9,1428,73,1,1,1,0,0,62
92.0,5.9,44248,6,1,0,0,0,0,36
112.0,6.8,18141,60,1,1,0,0,1,60
146.0,8.1,303529,76,1,1,0,0,1,89
100.0,7.1,86953,69,1,1,1,0,1,74
104.0,7.1,128361,68,1,1,1,0,0,78
107.0,6.7,297034,83,1,1,1,0,1,71
96.0,7.6,4143,100,1,1,1,0,1,82
88.0,8.4,3128,87,0,0,0,0,0,89
93.0,8.0,36909,98,1,1,1,1,0,91
112.0,5.8,1816,38,1,0,0,0,1,44
117.0,6.4,1043,80,1,1,0,0,0,56
103.0,6.4,54829,55,1,0,0,1,0,45
137.0,7.0,9725,54,1,1,1,1,0,70
137.0,8.0,490295,84,1,1,1,0,0,89
95.0,5.2,7881,11,1,0,1,0,0,35
108.0,4.9,5136,5,1,1,0,1,0,13
83.0,3.5,10055,18,1,0,0,0,1,30
91.0,6.5,2408,36,1,1,0,0,0,68
118.0,5.9,24472,32,1,0,0,1,0,49
92.0,6.6,115026,29,1,0,1,0,0,63
95.0,7.8,651,91,0,0,0,1,0,81
93.0,5.3,7710,38,1,0,1,0,0,47
114.0,5.7,5425,46,1,1,1,1,0,51
105.0,6.3,4550,71,1,0,0,0,0,50
125.0,7.0,16262,72,1,0,0,0,1,78
83.0,8.4,1571,90,0,0,0,1,0,93
88.0,4.9,10271,8,1,0,0,0,1,35
138.0,5.7,204042,61,1,0,0,0,1,29
100.0,4.5,16824,10,1,0,1,1,0,31
89.0,7.5,6061,84,1,0,0,1,0,85
100.0,4.5,10651,13,1,0,0,0,0,31
122.0,7.9,1346,94,0,0,0,0,0,85
96.0,5.8,1886,85,1,1,1,0,0,49
139.0,6.5,4874,31,1,1,1,1,0,69
119.0,7.0,4121,91,1,1,1,0,0,80
107.0,6.8,40133,78,1,1,0,0,0,79
85.0,6.2,3416,7,1,0,0,0,1,43
91.0,5.5,73617,14,1,0,1,1,0,37
124.0,7.7,183747,80,1,1,1,1,0,86
88.0,6.3,123588,67,1,0,0,0,0,55
119.0,6.3,124250,75,1,0,0,1,0,52
119.0,6.8,11103,87,1,1,1,0,0,75
105.0,5.9,33040,43,1,0,0,0,0,49
131.0,7.1,11236,75,1,1,1,0,1,74
108.0,6.4,9946,82,1,0,1,1,0,58
85.0,6.0,1680,33,1,0,0,0,1,65
130.0,7.1,122980,79,1,1,1,1,0,67
117.0,5.4,19603,40,1,0,1,0,1,60
91.0,7.8,1663,40,1,0,1,0,0,83
125.0,6.8,71141,45,1,1,0,1,0,57
85.0,5.0,13790,25,1,0,1,0,0,37
107.0,5.3,5374,21,1,0,0,1,0,29
110.0,7.2,14589,91,1,1,1,0,0,78
87.0,6.2,11259,53,1,0,1,0,1,67
155.0,7.3,6472,90,1,1,0,1,0,76
107.0,7.0,100416,36,1,1,0,0,1,49
112.0,6.7,3866,100,1,1,1,0,0,51
86.0,7.8,872,96,0,0,0,0,1,92
94.0,7.5,2928,67,0,0,0,0,0,78
81.0,7.9,3887,82,0,0,0,0,1,87
75.0,5.9,1607,13,1,0,1,0,0,60
111.0,5.8,4904,51,1,0,1,0,1,32
96.0,6.8,19937,82,1,0,1,0,1,67
93.0,5.7,17384,32,1,0,0,0,0,47
93.0,6.1,25683,33,1,0,1,0,0,39
89.0,4.8,3883,17,1,1,1,0,1,24
122.0,7.9,99582,93,1,1,1,1,0,93
83.0,3.4,2959,11,1,0,1,0,1,24
133.0,6.7,134031,41,1,0,1,1,0,57
91.0,4.8,17190,11,1,0,0,0,1,47
112.0,7.4,135840,88,1,1,1,1,0,77
115.0,5.7,2897,15,1,0,0,1,0,72
129.0,6.4,10126,29,1,1,0,0,0,72
104.0,6.3,19383,57,1,1,0,1,0,49
128.0,7.4,8030,4,1,0,1,0,0,78
90.0,5.3,3461,13,1,0,1,0,1,29
68.0,6.4,3970,79,1,0,0,0,0,70
126.0,8.3,572236,97,1,1,1,1,0,94
104.0,4.3,4072,13,1,1,1,0,0,14
108.0,6.5,126257,75,1,0,0,1,0,70
93.0,4.9,15491,6,1,0,0,1,0,30
117.0,6.1,51070,51,1,1,0,0,1,35
102.0,6.8,2530,73,1,1,1,0,1,73
93.0,5.3,30495,16,1,1,1,1,0,28
97.0,5.6,16955,29,1,0,0,0,0,37
130.0,8.5,797101,76,1,1,0,1,0,92
97.0,5.9,8059,27,1,1,1,0,1,76
105.0,7.3,60483,71,1,1,1,0,1,81
95.0,6.2,3602,60,1,1,0,0,1,58
103.0,6.8,34802,18,1,0,1,0,1,72
121.0,6.6,3730,49,1,0,1,0,0,66
85.0,3.4,30085,10,1,0,0,0,1,23
82.0,6.3,32737,25,1,0,0,0,1,70
102.0,7.1,34307,92,1,1,0,1,0,81
129.0,6.0,66171,68,1,1,0,0,1,60
144.0,6.3,8685,43,1,1,0,1,0,52
177.0,5.9,54597,9,1,0,1,1,0,49
97.0,5.3,7862,7,1,0,0,1,0,46
103.0,6.6,68871,80,1,1,0,0,0,79
122.0,8.1,582091,93,1,1,1,1,0,86
81.0,5.1,11156,29,1,0,0,0,1,63
100.0,8.2,6345,92,0,0,1,0,0,88
115.0,7.5,9990,71,1,0,0,1,0,86
92.0,5.9,3473,60,1,1,1,1,0,34
93.0,6.3,42295,25,1,0,1,1,0,59
126.0,7.6,329613,71,1,1,0,0,1,87
105.0,6.4,42408,60,1,0,1,0,1,50
88.0,6.7,137222,37,1,0,0,0,1,62
95.0,5.5,51366,25,1,0,0,0,0,25
120.0,7.5,21623,63,1,1,0,0,0,82
103.0,7.8,39320,93,0,0,1,0,1,85
95.0,3.4,1915,17,1,0,1,0,1,26
94.0,5.1,1674,50,1,0,0,1,0,38
118.0,5.9,2096,67,1,0,0,1,0,45
95.0,6.2,1935,35,1,1,1,1,0,70
110.0,7.8,10522,91,1,1,0,1,0,86
96.0,5.4,2380,43,1,0,1,0,0,28
83.0,7.6,78862,50,1,0,0,1,0,81
96.0,4.3,83724,17,1,0,0,0,0,32
115.0,7.1,34298,71,1,1,1,1,0,77
83.0,7.4,830,100,0,0,0,0,0,72
111.0,7.3,2869,81,1,1,0,1,0,72
94.0,5.9,134510,61,1,0,1,0,0,53
99.0,6.5,152216,26,1,1,1,0,1,60
97.0,6.3,54771,40,1,0,0,0,0,49
112.0,5.8,11838,13,1,0,1,1,0,36
107.0,7.1,110540,38,1,1,0,0,1,59
100.0,5.7,6343,67,1,1,1,0,1,49
135.0,7.7,309494,63,1,0,1,1,0,73
98.0,6.5,6909,72,1,0,0,1,0,59
88.0,6.0,1890,67,1,1,1,0,0,49
121.0,6.8,72176,66,1,0,0,0,1,65
109.0,7.1,2271,52,1,1,0,0,0,64
99.0,6.6,6804,79,1,1,1,1,0,68
115.0,6.8,161101,53,1,0,1,0,0,64
110.0,5.2,10535,13,1,0,0,0,0,19
94.0,8.2,448434,89,1,1,1,0,1,93
104.0,6.9,2931,83,1,1,0,0,0,76
97.0,7.0,21009,63,1,0,0,0,0,77
87.0,5.4,6811,35,1,0,1,0,1,31
89.0,6.9,1943,81,0,0,0,0,1,72
99.0,7.5,32338,95,0,0,1,0,1,78
93.0,5.7,19161,17,1,1,0,0,0,44
98.0,6.5,54871,61,1,0,1,0,1,52
87.0,6.0,2433,86,1,0,1,0,0,44
115.0,6.8,21924,33,1,1,1,1,0,73
95.0,7.6,128298,98,1,0,1,1,0,85
99.0,5.1,14559,27,1,1,0,0,1,46
116.0,7.3,34926,49,1,1,1,1,0,77
101.0,7.3,27097,85,1,1,0,0,0,80
120.0,6.8,4021,88,1,1,1,1,0,71
78.0,8.0,764,100,0,0,0,0,1,91
128.0,5.8,6418,50,1,1,1,0,0,42
108.0,5.9,70737,27,1,1,1,1,0,61
84.0,4.5,9656,4,1,0,0,0,0,37
107.0,6.6,193702,28,1,0,0,0,0,67
89.0,6.0,59076,19,1,0,1,0,0,65
127.0,6.4,154148,54,1,0,0,0,1,54
99.0,7.1,11377,87,1,1,1,0,1,76
90.0,4.2,3302,17,1,0,1,1,0,15
90.0,7.8,180,84,0,0,0,0,0,79
102.0,6.4,34253,68,1,1,1,0,0,49
84.0,7.6,17960,77,1,1,0,0,0,86
139.0,7.5,281,92,0,0,0,0,0,77
126.0,6.7,12498,75,1,1,0,1,0,67
93.0,7.6,86831,94,1,0,1,1,0,87
