weight,height,sex,exercise,fruit_per_day,vege_per_day
126,61,Female,Yes,2,1
315,72,Male,No,0,0
200,76,Male,Yes,2,1
190,69,Male,Yes,1,2
172,67,Male,Yes,1,1
148,65,Female,Yes,2,1
180,72,Male,Yes,6,2
219,69,Male,No,2,0
130,67,Female,Yes,1,1
160,70,Male,Yes,3,2
210,72,Male,Yes,1,1
220,77,Male,Yes,1,1
291,71,Male,No,1,2
117,62,Female,No,3,2
166,72,Male,Yes,1,1
182,63,Female,No,4,0
170,72,Male,No,1,2
265,74,Male,Yes,2,1
280,76,Male,No,0,0
225,69,Male,Yes,1,2
140,64,Female,Yes,1,1
220,74,Male,Yes,5,1
173,69,Male,Yes,0,0
260,63,Female,No,1,1
180,63,Female,Yes,1,1
240,72,Male,No,1,1
170,68,Female,No,1,1
247,68,Male,No,0,0
213,70,Male,Yes,2,2
230,71,Male,No,0,0
270,72,Male,No,1,1
200,71,Male,Yes,1,1
195,71,Male,No,1,0
200,68,Male,Yes,1,0
255,77,Male,No,2,0
219,65,Female,Yes,2,1
129,69,Female,Yes,1,1
106,60,Female,Yes,2,1
130,62,Female,Yes,1,1
210,68,Female,Yes,1,1
150,66,Female,No,3,2
145,60,Female,Yes,1,1
205,66,Female,No,1,1
209,77,Male,Yes,1,1
210,67,Male,No,1,3
175,68,Female,Yes,2,2
220,70,Male,Yes,0,0
198,70,Male,Yes,2,2
178,69,Male,No,1,1
188,60,Female,No,1,1
136,65,Female,Yes,0,2
265,74,Male,Yes,1,1
162,68,Male,Yes,1,1
190,67,Male,No,0,0
120,61,Female,Yes,4,3
160,65,Male,No,0,0
148,59,Female,No,2,2
140,61,Female,Yes,2,1
170,70,Male,Yes,0,0
170,64,Female,No,1,0
190,66,Female,Yes,3,3
125,62,Female,Yes,2,1
200,63,Female,Yes,2,2
170,69,Female,Yes,1,1
120,60,Female,No,1,0
173,75,Male,Yes,2,1
153,59,Female,No,5,2
220,63,Female,Yes,1,1
195,76,Male,Yes,2,2
215,66,Female,Yes,3,1
130,62,Female,Yes,2,1
204,72,Male,Yes,1,1
158,68,Male,No,0,0
215,67,Female,Yes,2,2
140,66,Male,Yes,1,1
180,66,Female,Yes,1,1
200,67,Male,Yes,1,1
180,71,Male,Yes,3,1
260,77,Male,No,0,0
190,66,Female,Yes,1,1
139,66,Female,Yes,1,2
85,60,Female,Yes,1,1
146,67,Male,No,0,0
165,68,Male,Yes,1,1
211,70,Male,Yes,1,0
170,65,Female,Yes,1,1
180,70,Male,Yes,2,1
112,64,Female,Yes,2,2
200,66,Female,Yes,2,3
172,72,Male,Yes,1,2
130,61,Female,No,0,0
194,66,Male,Yes,0,0
135,62,Female,Yes,1,1
180,61,Female,Yes,3,2
215,66,Female,Yes,2,1
150,61,Female,Yes,2,1
165,62,Female,No,1,1
160,63,Female,Yes,3,5
140,60,Male,Yes,2,1
120,64,Female,Yes,1,1
115,64,Female,No,1,0
118,65,Female,Yes,1,1
165,70,Male,No,1,1
170,73,Male,Yes,2,1
265,75,Male,Yes,1,1
103,60,Female,Yes,1,1
180,66,Male,Yes,1,0
175,69,Male,No,0,0
200,76,Male,Yes,1,1
220,75,Male,Yes,1,1
150,63,Female,Yes,2,2
290,75,Male,No,2,3
185,72,Male,Yes,0,0
178,74,Male,Yes,3,2
180,63,Male,No,0,0
126,63,Female,No,3,1
150,66,Female,Yes,1,1
130,65,Female,Yes,1,1
225,67,Female,Yes,3,2
175,72,Male,Yes,1,3
210,77,Male,Yes,2,1
114,59,Female,No,1,0
250,67,Male,No,1,0
250,78,Male,Yes,1,1
160,71,Male,Yes,5,3
170,64,Female,Yes,3,1
235,68,Male,No,2,0
130,62,Female,Yes,4,1
178,70,Male,Yes,3,1
169,62,Female,Yes,1,0
165,61,Female,No,1,1
185,68,Male,Yes,1,0
260,71,Male,Yes,2,1
175,72,Male,No,2,1
106,62,Female,Yes,3,1
110,61,Male,Yes,1,0
293,69,Male,No,0,0
139,63,Female,No,2,1
185,69,Male,Yes,1,2
150,67,Female,Yes,2,1
168,65,Female,Yes,2,2
130,68,Male,Yes,1,2
146,60,Female,Yes,2,1
164,70,Female,Yes,3,1
240,72,Male,No,1,1
188,71,Male,Yes,1,2
165,62,Female,Yes,2,1
170,70,Male,No,0,0
160,70,Male,Yes,3,3
149,68,Male,Yes,1,1
290,72,Male,Yes,1,0
135,65,Female,Yes,4,2
198,73,Male,Yes,2,1
155,66,Male,Yes,1,0
170,77,Male,Yes,3,1
218,73,Male,Yes,2,0
150,63,Female,Yes,2,2
155,62,Female,Yes,1,1
130,67,Female,Yes,2,1
167,69,Male,No,0,0
214,66,Female,Yes,2,2
184,65,Male,Yes,0,0
120,56,Female,Yes,1,1
150,61,Female,Yes,2,2
100,62,Female,Yes,1,1
148,63,Female,Yes,2,1
142,67,Male,Yes,0,0
313,66,Female,Yes,2,0
200,70,Male,Yes,1,2
125,64,Female,Yes,1,1
200,67,Male,Yes,2,1
110,63,Female,Yes,0,1
150,72,Male,Yes,2,1
220,72,Male,No,1,2
180,67,Female,No,3,2
185,67,Female,No,3,5
250,71,Male,No,1,0
190,66,Female,Yes,2,1
190,62,Female,No,0,0
175,66,Male,Yes,0,0
145,65,Female,Yes,3,2
160,66,Female,Yes,1,2
130,66,Female,Yes,2,1
119,66,Female,No,2,1
140,68,Female,Yes,1,1
150,64,Female,Yes,0,0
195,68,Female,Yes,1,1
152,63,Female,Yes,4,1
145,65,Female,Yes,2,2
116,65,Female,Yes,1,1
189,68,Male,No,3,2
150,62,Female,Yes,3,1
188,63,Female,Yes,2,1
191,72,Male,Yes,2,2
130,61,Female,Yes,3,2
140,65,Female,Yes,1,1
140,62,Female,Yes,4,1
205,74,Male,Yes,1,1
250,69,Male,No,0,0
199,62,Female,Yes,3,1
146,66,Female,Yes,1,1
165,66,Female,Yes,2,1
240,72,Male,No,2,1
135,62,Female,No,1,1
150,64,Female,Yes,1,1
122,60,Female,Yes,1,1
195,68,Male,Yes,2,1
145,60,Female,No,2,0
125,70,Female,Yes,2,2
230,71,Male,Yes,2,2
142,61,Female,Yes,3,2
135,62,Female,Yes,3,1
113,66,Female,Yes,2,1
109,63,Female,Yes,1,1
150,67,Female,Yes,1,1
205,69,Male,No,1,0
270,72,Male,No,0,0
170,66,Male,Yes,2,2
212,69,Male,Yes,2,1
250,70,Male,No,1,1
185,75,Male,Yes,1,0
130,60,Female,Yes,4,2
285,73,Male,Yes,2,3
170,68,Female,No,2,0
125,66,Male,Yes,1,1
175,60,Female,Yes,1,2
170,67,Male,Yes,1,1
182,69,Male,Yes,1,1
120,71,Female,No,3,1
148,63,Female,No,1,1
145,65,Male,Yes,2,2
140,62,Female,Yes,5,2
164,69,Male,Yes,2,0
140,66,Female,Yes,1,1
135,69,Female,Yes,1,1
143,64,Female,Yes,1,1
185,70,Male,Yes,0,1
84,60,Female,Yes,1,1
130,69,Female,Yes,1,1
144,61,Female,Yes,2,0
217,70,Male,Yes,3,1
200,65,Male,Yes,2,2
200,71,Male,Yes,0,0
134,66,Female,Yes,1,1
116,65,Female,Yes,2,1
150,70,Male,Yes,2,2
128,62,Male,Yes,3,1
192,68,Male,No,1,1
200,66,Female,Yes,1,1
209,73,Male,Yes,1,1
149,69,Male,Yes,2,1
200,70,Male,Yes,1,0
200,69,Female,No,1,1
170,67,Male,Yes,1,0
125,66,Male,No,1,1
250,72,Male,No,1,1
190,67,Female,Yes,2,2
130,65,Female,Yes,1,1
290,74,Male,Yes,2,1
314,72,Male,No,0,0
200,74,Male,Yes,2,1
110,60,Female,Yes,1,1
140,59,Female,Yes,2,1
152,71,Female,Yes,3,1
180,62,Female,No,1,2
180,68,Male,Yes,1,1
160,66,Male,No,0,1
265,69,Male,Yes,2,0
168,66,Female,Yes,1,1
235,73,Male,Yes,1,1
263,71,Male,No,2,1
135,68,Female,Yes,2,1
285,74,Male,Yes,1,1
190,62,Female,No,0,0
135,66,Female,Yes,2,1
150,64,Female,Yes,1,0
175,67,Female,Yes,1,1
215,61,Female,Yes,1,1
374,76,Male,No,0,0
225,70,Male,No,1,1
178,64,Female,Yes,3,2
175,69,Male,Yes,3,1
199,67,Female,Yes,1,4
150,65,Male,Yes,1,1
216,73,Male,Yes,2,1
180,69,Female,Yes,3,2
245,74,Male,Yes,3,2
295,74,Male,Yes,0,0
172,72,Male,No,1,1
150,64,Female,No,1,1
125,62,Female,No,1,1
136,60,Female,Yes,2,1
165,72,Male,Yes,2,1
130,66,Female,Yes,4,2
155,65,Male,Yes,2,3
190,71,Male,Yes,1,0
425,74,Male,No,0,2
140,60,Female,No,2,0
250,66,Female,Yes,1,0
333,75,Male,Yes,1,1
143,67,Female,Yes,2,0
180,65,Female,Yes,2,2
95,58,Female,Yes,3,1
140,59,Female,Yes,3,0
235,70,Male,No,1,0
125,64,Female,Yes,3,1
168,70,Female,Yes,3,1
163,71,Male,Yes,1,1
170,69,Male,No,0,0
240,72,Male,No,0,1
270,71,Male,Yes,3,2
255,71,Male,Yes,0,0
160,68,Female,Yes,1,1
275,71,Male,Yes,1,1
121,64,Female,Yes,3,2
125,62,Female,Yes,1,0
205,71,Male,Yes,0,0
125,62,Female,Yes,1,2
176,75,Male,Yes,1,2
175,70,Female,Yes,3,2
220,74,Male,Yes,3,1
300,70,Male,No,0,0
118,63,Female,Yes,2,3
105,64,Female,Yes,4,2
166,63,Female,Yes,1,1
170,72,Male,Yes,4,2
238,74,Male,Yes,3,2
150,65,Female,Yes,0,0
140,69,Female,No,1,0
140,68,Female,Yes,1,1
155,72,Male,Yes,2,1
191,71,Male,Yes,2,1
175,71,Male,Yes,1,1
115,63,Female,Yes,1,1
101,62,Male,Yes,1,0
179,70,Male,Yes,3,4
125,61,Female,No,1,0
141,64,Female,Yes,3,2
106,62,Female,Yes,1,1
194,65,Female,Yes,1,0
104,60,Female,No,0,0
190,71,Male,Yes,0,1
182,63,Female,Yes,1,1
241,65,Female,Yes,2,1
159,57,Female,Yes,4,2
250,75,Male,No,0,0
124,62,Female,Yes,4,2
225,72,Male,Yes,3,1
155,64,Female,No,2,1
180,69,Male,Yes,2,1
270,62,Female,Yes,3,1
159,65,Female,Yes,3,2
200,66,Female,Yes,1,1
230,70,Male,Yes,3,1
125,62,Female,Yes,2,3
200,66,Female,Yes,1,1
185,65,Male,Yes,3,1
210,71,Male,Yes,0,5
162,67,Female,Yes,1,1
203,69,Male,Yes,1,0
160,65,Male,Yes,0,0
136,62,Female,Yes,1,0
157,66,Female,Yes,4,3
135,65,Female,Yes,2,1
180,66,Male,No,1,0
225,72,Male,No,0,0
145,68,Male,Yes,1,1
123,64,Female,Yes,1,2
150,65,Female,Yes,4,1
106,60,Female,Yes,1,1
189,71,Male,Yes,1,1
155,60,Female,No,1,2
124,63,Female,Yes,1,0
210,67,Male,Yes,0,0
185,68,Male,Yes,3,2
212,69,Female,Yes,5,1
250,71,Male,Yes,1,1
315,67,Female,Yes,3,2
155,70,Female,Yes,3,2
155,68,Female,Yes,0,0
160,63,Female,Yes,2,2
180,66,Female,Yes,3,3
165,74,Male,Yes,1,1
200,60,Female,Yes,1,0
230,66,Female,No,2,1
154,65,Female,Yes,2,2
118,66,Female,Yes,1,1
190,69,Male,Yes,2,1
240,77,Male,Yes,2,7
200,72,Male,Yes,2,2
140,61,Female,Yes,1,1
160,64,Female,Yes,3,2
160,64,Male,No,1,1
180,70,Male,No,1,1
230,70,Male,Yes,1,1
166,70,Male,Yes,1,1
180,70,Male,Yes,2,1
145,65,Female,Yes,1,1
216,59,Female,No,2,1
180,69,Male,No,1,1
208,70,Male,No,2,0
155,67,Female,Yes,1,1
160,64,Female,Yes,3,1
171,60,Female,Yes,1,1
200,72,Male,Yes,1,0
150,62,Female,Yes,2,1
143,62,Female,Yes,1,1
146,63,Female,Yes,1,1
140,64,Female,No,0,0
178,73,Male,No,1,1
159,64,Female,Yes,2,0
165,68,Male,Yes,2,1
142,69,Female,No,3,2
170,62,Female,Yes,2,1
180,66,Female,Yes,2,1
170,65,Female,No,0,0
205,70,Male,Yes,1,1
250,70,Male,No,1,1
218,69,Male,No,0,0
275,64,Female,No,2,1
148,62,Female,Yes,1,2
165,68,Male,Yes,3,2
100,64,Female,Yes,3,2
205,64,Female,Yes,2,2
240,68,Male,No,2,1
195,66,Male,Yes,1,1
140,60,Female,No,1,1
160,66,Female,Yes,1,1
104,60,Female,No,1,1
198,67,Female,Yes,2,2
160,60,Female,Yes,2,1
125,67,Female,Yes,3,2
154,66,Male,No,0,0
230,71,Male,No,0,0
310,71,Male,Yes,3,3
165,69,Female,Yes,3,2
150,65,Female,Yes,1,2
270,67,Female,Yes,1,1
107,62,Female,Yes,3,2
127,65,Female,Yes,1,1
218,65,Male,Yes,3,2
230,61,Female,Yes,2,1
234,71,Male,Yes,2,1
178,69,Female,Yes,1,1
120,64,Female,No,2,1
215,70,Male,No,1,1
195,64,Female,Yes,1,2
190,65,Female,Yes,1,1
180,64,Female,Yes,3,1
140,68,Female,Yes,3,1
140,68,Female,Yes,2,2
150,64,Female,No,1,1
130,62,Female,Yes,2,2
215,72,Male,Yes,1,1
169,70,Male,Yes,2,1
195,66,Male,No,1,2
165,65,Male,Yes,3,1
125,68,Female,Yes,1,1
102,61,Female,Yes,2,1
235,65,Female,No,1,0
172,69,Male,Yes,3,1
189,64,Female,Yes,0,1
125,64,Female,Yes,1,1
300,71,Male,Yes,5,0
120,61,Female,Yes,2,1
158,65,Male,Yes,2,0
240,72,Male,Yes,1,0
175,68,Male,Yes,1,1
149,66,Female,Yes,2,2
140,66,Female,Yes,1,1
200,73,Male,Yes,1,1
140,66,Male,No,1,1
136,65,Male,No,1,1
260,73,Male,Yes,1,1
185,69,Male,No,0,0
145,70,Male,Yes,0,0
160,66,Female,Yes,1,1
180,65,Female,Yes,1,1
117,67,Female,Yes,2,2
129,68,Female,Yes,1,2
225,69,Male,Yes,1,0
170,67,Male,No,1,1
200,67,Female,No,1,0
140,63,Female,No,3,0
150,69,Female,Yes,3,2
118,60,Female,Yes,1,1
250,69,Male,Yes,1,1
135,63,Female,Yes,2,2
230,73,Male,No,2,1
170,60,Female,Yes,3,3
162,68,Male,Yes,1,1
200,69,Male,No,0,0
200,70,Female,No,0,0
122,61,Female,Yes,4,2
200,64,Female,Yes,3,0
196,72,Male,Yes,2,0
215,70,Male,Yes,1,0
190,72,Female,No,2,1
180,67,Female,Yes,5,1
135,66,Male,Yes,2,2
138,64,Female,Yes,1,2
140,62,Female,Yes,1,1
195,71,Male,Yes,1,1
162,68,Male,Yes,3,2
250,72,Male,Yes,2,1
125,63,Female,Yes,1,1
230,73,Male,No,0,0
177,72,Male,Yes,1,0
120,60,Female,No,1,1
172,73,Male,Yes,2,1
115,62,Female,Yes,1,1
160,60,Female,Yes,3,1
185,74,Male,No,1,1
170,70,Male,Yes,2,2
140,62,Female,Yes,1,1
230,66,Male,Yes,1,1
150,67,Female,No,2,2
130,65,Female,Yes,1,1
110,64,Female,Yes,1,1
178,67,Male,Yes,3,3
165,67,Female,No,1,1
175,69,Female,Yes,1,2
285,67,Female,Yes,1,0
184,69,Male,Yes,2,1
160,69,Female,Yes,1,1
145,66,Male,Yes,3,1
200,65,Female,No,2,1
110,62,Female,Yes,3,2
130,65,Female,Yes,1,1
169,62,Female,Yes,2,1
190,74,Male,Yes,3,2
140,61,Female,Yes,1,0
196,67,Male,Yes,2,0
207,72,Male,Yes,0,0
135,67,Male,Yes,1,1
162,69,Male,No,1,0
155,69,Male,Yes,1,1
220,75,Male,Yes,2,3
174,62,Female,Yes,3,0
260,69,Male,Yes,1,1
168,66,Female,No,0,0
240,74,Male,Yes,1,0
210,72,Male,Yes,1,1
132,59,Female,Yes,2,1
165,67,Male,Yes,1,1
155,70,Male,Yes,1,1
165,66,Male,Yes,2,1
165,69,Male,Yes,1,0
232,73,Male,No,1,0
215,74,Male,Yes,1,2
180,70,Male,Yes,3,3
220,71,Male,Yes,1,1
265,67,Male,Yes,1,1
235,72,Male,Yes,1,1
180,68,Female,Yes,1,1
190,70,Male,No,2,0
185,71,Male,Yes,1,1
280,65,Male,Yes,1,1
190,73,Male,Yes,2,1
170,63,Female,Yes,2,0
168,64,Male,No,2,3
191,69,Male,Yes,0,1
300,64,Female,Yes,1,2
180,70,Male,Yes,2,1
189,68,Male,No,1,3
140,67,Female,Yes,4,2
178,65,Male,Yes,1,1
145,61,Female,Yes,1,0
137,66,Female,Yes,2,2
162,64,Female,Yes,2,2
250,74,Male,Yes,1,1
175,70,Male,No,1,0
209,66,Male,No,1,0
160,60,Female,Yes,1,1
160,64,Female,Yes,2,1
153,67,Male,Yes,2,3
200,69,Female,No,3,1
165,67,Male,Yes,3,1
189,70,Male,Yes,1,1
180,69,Female,Yes,2,1
135,63,Female,Yes,1,1
105,61,Female,Yes,3,0
200,69,Male,Yes,1,0
250,77,Male,Yes,2,2
162,66,Female,Yes,3,2
155,65,Female,Yes,0,2
195,74,Male,No,1,1
151,69,Male,Yes,1,1
160,64,Female,Yes,2,2
138,62,Female,Yes,6,3
180,68,Male,Yes,7,2
190,64,Female,Yes,1,1
188,73,Female,Yes,4,1
167,73,Male,Yes,1,1
160,67,Male,Yes,2,1
225,69,Male,Yes,3,4
220,69,Female,Yes,1,2
146,70,Male,Yes,2,1
135,62,Female,Yes,3,2
190,63,Female,Yes,2,1
230,68,Male,Yes,2,0
103,63,Female,Yes,2,2
120,63,Female,Yes,2,1
135,62,Female,Yes,3,1
210,72,Male,Yes,1,1
210,75,Male,Yes,1,0
250,61,Female,Yes,1,1
142,64,Female,Yes,1,1
215,70,Male,Yes,2,1
222,65,Female,Yes,3,0
314,69,Male,Yes,2,0
107,60,Female,Yes,2,2
170,62,Female,No,1,0
200,73,Male,Yes,1,1
160,63,Female,Yes,2,2
260,73,Male,Yes,1,1
160,63,Female,Yes,1,1
195,67,Female,Yes,6,1
280,70,Male,No,1,1
110,66,Male,No,0,0
300,74,Male,Yes,3,3
164,68,Male,No,1,0
155,67,Female,Yes,1,0
175,72,Male,Yes,1,1
150,58,Female,No,0,1
125,68,Female,Yes,2,2
120,64,Female,Yes,3,1
131,71,Male,Yes,0,0
230,75,Male,Yes,1,2
107,62,Female,Yes,1,1
130,60,Female,Yes,1,1
211,74,Male,Yes,2,0
140,60,Female,No,3,1
184,72,Male,No,1,1
190,70,Male,Yes,1,1
210,66,Male,No,1,1
125,63,Female,Yes,1,2
204,70,Male,Yes,1,1
150,66,Male,No,0,0
155,70,Male,Yes,3,3
153,63,Female,Yes,1,1
260,79,Male,Yes,1,1
150,67,Male,Yes,1,2
225,68,Male,Yes,1,1
120,60,Female,Yes,1,2
190,66,Male,No,1,1
165,66,Female,Yes,2,2
330,66,Female,No,1,2
160,65,Female,Yes,2,1
130,62,Female,No,1,1
210,70,Male,Yes,1,1
225,72,Male,Yes,2,1
180,58,Female,Yes,2,2
145,65,Female,Yes,1,0
140,66,Female,Yes,1,2
130,64,Female,Yes,3,2
160,67,Female,Yes,1,3
140,65,Male,No,1,1
168,68,Female,Yes,3,1
179,66,Male,Yes,5,1
200,68,Male,Yes,2,1
155,70,Male,No,1,0
235,64,Male,No,1,1
128,65,Female,No,1,0
205,64,Female,Yes,2,2
175,72,Male,Yes,1,2
150,69,Female,Yes,3,3
180,71,Male,Yes,3,1
169,68,Male,Yes,1,1
140,67,Male,No,1,1
122,68,Male,Yes,1,1
145,61,Female,Yes,2,2
180,60,Female,No,0,0
120,62,Female,Yes,1,1
260,74,Male,No,1,1
108,63,Female,No,1,1
175,72,Male,Yes,1,1
175,67,Male,No,0,0
115,65,Female,Yes,2,1
231,65,Female,No,3,1
180,60,Female,Yes,2,1
210,65,Female,No,1,1
160,64,Female,Yes,1,1
195,67,Female,Yes,1,1
225,74,Male,Yes,1,0
120,60,Female,Yes,2,1
220,67,Female,No,2,1
170,68,Female,Yes,1,1
143,71,Male,No,0,0
162,64,Male,No,2,2
160,68,Male,Yes,1,1
170,75,Male,Yes,1,1
212,67,Male,Yes,1,1
200,71,Male,Yes,1,1
200,64,Female,No,0,1
132,63,Female,Yes,2,1
100,59,Female,Yes,1,0
175,68,Female,Yes,1,1
160,66,Female,Yes,1,1
190,69,Male,Yes,1,0
200,66,Female,Yes,0,0
200,66,Male,Yes,1,0
